発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (QzyYDcSSX5orH6pC) の解答,評価,,,
3-16-5,Pythonで整数の乱数を得るにはどうしたら良いですか,randint関数を用いる,記述,関数randintを用いる,正解 : 7,,,
3-17-1,物体の放物運動など自然現象をモデル化するにはどのような知識が必要ですか,数学や物理の知識が必要である,記述,数学，物理,正解 : 7,,,
3-17-2,変数表とは何ですか,プログラム中に用いる変数と諸条件をわかりやすくするために、変数名やその意味をまとめた表である,記述,変数名とモデル内の役割をまとめたもの,不十分 : 3,,,
3-17-3,ランダムウォークとはどのような時に用いられるモデルですか,ブラウン運動や株価の変動など不確実な現象のシミュレーションに用いられる,記述,不確実な現象のシュミレーション,異なる修飾 : 6,,,
3-17-4,生物の個体数が制約条件の中で増加する際、グラフはどのような曲線になりますか,環境収容力に収束するS字曲線であるロジスティック曲線となる,記述,S字曲線,不十分 : 3,,,
3-17-5,ランダムウォークは近年どのようなことに活用されていますか,でたらめな行動をする生物や人間の行動を分析するためのシミュレーションや、機械学習によく活用されている,記述,機械学習,欠如 : 5,,,
4-18-1,通信の規定を定めたプロトコルにはどのような層に分けて考えられていますか,プロトコルは上位の層からアプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層に分けら れる ,図,４つの層,不十分 : 3,,,
4-18-2,有線LANと無線LANの違いは何ですか,有線LANは通信上のネットワークインタフェースがEthernetの電気信号であり、無線LANは電波である,記述,通信方法が電気信号と電波,不十分 : 3,,,
4-18-3,無線LANの認証方式にはどのようなものがありますか,認証方式にはWEP、WPA、WPA2、WPA3がある,表,WPA,欠如 : 5,,,
4-18-4,無線LANでの通信におけるデメリットは何ですか,電波でデータを伝搬するため傍受することが容易なのがデメリットである,記述,通信傍受,不十分 : 3,,,
4-18-5,WPA3の暗号化方式と暗号化アルゴリズムには何が使われていますか,WPA3の暗号化方式にはSAEが使われ、暗号化アルゴリズムにはCNSAが用いられる,表,SAE，CNSA,不十分 : 3,,,
